"idhous" "sex" "birthyr" "nat_1_02" "plingu02" "p02r01" "p02r04" "cspfaj" "cspmoj" "wp00tbgp" "wp00tbgs" "idpers"
"651" 36731 "woman" 1936 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" "unqualified non-manual and manual workers" NA 1168.94519042969 1.03742039203644 "651"
"704" 39901 "man" 1950 "Switzerland" "german" "Roman Catholic" "about once a month" "other self-employed" NA 919.283813476562 0.815849840641022 "704"
"551" 30711 "man" 1937 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "intermediate professions" NA 822.780639648438 0.730204820632935 "551"
"2493" 143421 "man" 1931 "Switzerland" "german" "Roman Catholic" "once a week" "academic professions and senior management" NA 862.029052734375 0.765037178993225 "2493"
"58" 6171 "man" 1955 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" "other self-employed" 799.340637207031 0.709402143955231 "58"
"1298" NA "woman" 1948 NA NA NA NA "other self-employed" "intermediate professions" 872.05126953125 0.773931682109833 "1298"
"2194" NA "woman" 1955 NA NA NA NA "academic professions and senior management" NA 768.968505859375 0.682447373867035 "2194"
"370" 22221 "man" 1948 "Itally" NA NA NA NA NA 4724.1494140625 4.19260787963867 "370"
"1239" 70441 "woman" 1950 "Switzerland" "german" "Roman Catholic" "every two weeks" "other self-employed" "other self-employed" 799.767028808594 0.70978057384491 "1239"
"1097" 61871 "man" 1951 "Switzerland" NA NA NA NA NA 2173.30810546875 1.92877650260925 "1097"
"1932" NA "woman" 1953 NA NA NA NA "qualified non-manual professions" NA 671.635375976562 0.596065819263458 "1932"
"587" 33171 "man" 1955 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "academic professions and senior management" "qualified non-manual professions" 765.070739746094 0.67898815870285 "587"
"34" 5211 "woman" 1937 "Switzerland" "french" "Protestant or Reformed Church" "every two weeks" "other self-employed" NA 897.166137695312 0.796220779418945 "34"
"926" 52911 "man" 1948 "Switzerland" "french" "Protestant or Reformed Church" "about once a month" "qualified manual professions" "unqualified non-manual and manual workers" 789.672973632812 0.700822293758392 "926"
"1144" 65061 "woman" 1946 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" NA 1015.48059082031 0.901222944259644 "1144"
"1233" NA "woman" 1949 NA NA NA NA "other self-employed" NA 1903.51049804688 1.68933546543121 "1233"
"1180" 67461 "woman" 1955 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "other self-employed" "other self-employed" 641.642883300781 0.569447934627533 "1180"
"1760" 100901 "woman" 1947 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "other self-employed" "other self-employed" 625.257568359375 0.554906249046326 "1760"
"2367" 136131 "man" 1945 "Switzerland" "german" "Roman Catholic" "once a week" "other self-employed" NA 1545.73181152344 1.37181258201599 "2367"
"1041" 58951 "man" 1939 "Switzerland" "french" "Roman Catholic" "once a week" NA NA 705.394226074219 0.626026213169098 "1041"
"402" NA "man" 1955 NA NA NA NA NA NA 1526.71105957031 1.35493195056915 "402"
"2418" NA "man" 1924 NA NA NA NA "academic professions and senior management" NA 1385.06872558594 1.22922658920288 "2418"
"1588" 90831 "woman" 1952 "Switzerland" "german" "no denomination or religion" "never" "qualified non-manual professions" NA 886.535888671875 0.786786615848541 "1588"
"1748" 100351 "man" 1953 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "academic professions and senior management" "unqualified non-manual and manual workers" 686.449157714844 0.609212815761566 "1748"
"674" 37761 "woman" 1947 "Switzerland" "german" "other Christian denomination" "a few times a year" "academic professions and senior management" NA 798.002563476562 0.708214640617371 "674"
"1574" 90241 "woman" 1957 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "academic professions and senior management" NA 794.828552246094 0.70539778470993 "1574"
"1892" 107171 "woman" 1951 "Switzerland" "german" "Roman Catholic" "once a week" "other self-employed" NA 806.003051757812 0.715314984321594 "1892"
"1088" NA "man" 1936 NA NA NA NA "unqualified non-manual and manual workers" NA 804.037231445312 0.713570296764374 "1088"
"2112" 119791 "man" 1947 "Switzerland" NA NA NA NA NA 1989.45935058594 1.76561379432678 "2112"
"1293" 73841 "man" 1934 "Switzerland" "german" "Roman Catholic" "only for religious celebrations" "academic professions and senior management" NA 850.717834472656 0.754998624324799 "1293"
"2286" 130321 "woman" 1942 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" NA "unqualified non-manual and manual workers" 1529.1689453125 1.35711324214935 "2286"
"1107" 62641 "woman" 1933 "Switzerland" NA NA NA NA NA 1756.12622070312 1.55853426456451 "1107"
"2162" NA "man" 1923 NA NA NA NA "qualified manual professions" NA 801.509765625 0.711327254772186 "2162"
"35" 5261 "woman" 1918 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "academic professions and senior management" NA 1424.57592773438 1.26428866386414 "35"
"2406" 138271 "man" 1951 "Switzerland" "german" "Roman Catholic" "religious celebrations and family events" "intermediate professions" NA 1012.08367919922 0.898208260536194 "2406"
"93" 7991 "man" 1955 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" NA 0 0 "93"
"748" 42811 "man" 1945 "Switzerland" "german" "Roman Catholic" "a few times a year" "other self-employed" "other self-employed" 938.493896484375 0.832898497581482 "748"
"2045" 115901 "woman" 1956 "Portugual" "french" "Roman Catholic" "about once a month" "other self-employed" NA 0 0 "2045"
"1407" 80431 "woman" 1950 "Switzerland" "german" "no denomination or religion" "religious celebrations and family events" "other self-employed" NA 815.134765625 0.723419189453125 "1407"
"1960" 110221 "woman" 1945 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" "other self-employed" NA 1142.05261230469 1.01355361938477 "1960"
"2445" 140851 "woman" 1947 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" "qualified non-manual professions" NA 1296.08349609375 1.15025353431702 "2445"
"2234" 126811 "man" 1950 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "other self-employed" NA 705.320983886719 0.625961244106293 "2234"
"2579" 147691 "woman" 1954 "Switzerland" "german" "Roman Catholic" "a few times a year" "other self-employed" NA 764.205078125 0.67821991443634 "2579"
"121" 9511 "woman" 1926 "Switzerland" "french" "Roman Catholic" "only for family ceremonies" "qualified manual professions" NA 1269.45849609375 1.12662434577942 "121"
"1288" 73231 "man" 1954 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "liberal professions" NA 796.852905273438 0.707194328308105 "1288"
"1512" 86091 "woman" 1946 "Switzerland" "german" "Roman Catholic" "once a week" "qualified manual professions" NA 955.764770507812 0.848226130008698 "1512"
"1665" 95931 "woman" 1957 "Switzerland" "italian" "Roman Catholic" "about once a month" NA NA 700.744689941406 0.621899843215942 "1665"
"576" 32401 "man" 1919 "Switzerland" "german" NA NA NA "intermediate professions" 1126.39880371094 0.999661087989807 "576"
"1172" 67141 "man" 1955 "Switzerland" NA NA NA NA NA 1755.29724121094 1.55779850482941 "1172"
"1874" 106391 "woman" 1928 "Switzerland" "german" "no denomination or religion" "a few times a year" NA NA 1284.85363769531 1.1402872800827 "1874"
"664" NA "man" 1955 NA NA NA NA NA NA 1840.51245117188 1.63342571258545 "664"
"1570" 90101 "woman" 1935 "Switzerland" "german" "Roman Catholic" "once a week" "qualified manual professions" NA 1219.34948730469 1.0821533203125 "1570"
"928" 53191 "woman" 1955 "Switzerland" "french" "Protestant or Reformed Church" "about once a month" "other self-employed" NA 681.72509765625 0.60502028465271 "928"
"1808" 103101 "man" 1948 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "top management" NA 724.184875488281 0.642702639102936 "1808"
"2571" 147271 "woman" 1924 "Switzerland" NA NA NA NA NA 2328.60498046875 2.06660008430481 "2571"
"881" 49861 "man" 1957 "Portugual" "french" "Roman Catholic" "never" "unqualified non-manual and manual workers" "unqualified non-manual and manual workers" 2132.06274414062 1.89217185974121 "881"
"998" NA "man" 1943 NA NA NA NA "intermediate professions" NA 910.229431152344 0.807814240455627 "998"
"1424" 81721 "woman" 1943 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "academic professions and senior management" NA 1264.4208984375 1.12215352058411 "1424"
"579" 32751 "woman" 1944 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "academic professions and senior management" NA 1739.37182617188 1.54366493225098 "579"
"883" 50081 "man" 1924 "Switzerland" NA NA NA "other self-employed" "other self-employed" 1417.23376464844 1.257772564888 "883"
"1935" 109371 "woman" 1954 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "intermediate professions" NA 1060.71142578125 0.941364586353302 "1935"
"2265" 129141 "man" 1948 "Switzerland" "german" "Protestant or Reformed Church" "once a week" "intermediate professions" NA 748.989440917969 0.664716303348541 "2265"
"2276" 129821 "man" 1947 "Switzerland" "german" "Roman Catholic" "a few times a year" "liberal professions" NA 753.214538574219 0.668465971946716 "2276"
"426" 24971 "woman" 1956 "Switzerland" "german" "Protestant or Reformed Church" "only for religious celebrations" "intermediate professions" NA 694.989196777344 0.616791903972626 "426"
"1522" 86581 "woman" 1951 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "academic professions and senior management" "qualified non-manual professions" 698.082641601562 0.61953729391098 "1522"
"2530" 145061 "man" 1948 "Switzerland" "german" "Roman Catholic" "about once a month" "other self-employed" "other self-employed" 755.508483886719 0.670501828193665 "2530"
"1280" 73051 "man" 1940 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "intermediate professions" NA 1053.70141601562 0.935143351554871 "1280"
"2302" 131621 "man" 1940 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "academic professions and senior management" NA 936.094055175781 0.830768644809723 "2302"
"1886" 106841 "woman" 1932 "Switzerland" "french" "no denomination or religion" "never" "academic professions and senior management" NA 1400.31164550781 1.2427544593811 "1886"
"831" 47041 "man" 1953 "Itally" "italian" "Christian Catholic" "once a week" "unqualified non-manual and manual workers" NA 2648.30126953125 2.35032534599304 "831"
"1975" 111111 "woman" 1946 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" NA 742.306091308594 0.658784925937653 "1975"
"1489" 84911 "woman" 1939 "Germany" "german" "Protestant or Reformed Church" "every two weeks" "other self-employed" NA 3302.90405273438 2.93127512931824 "1489"
"2438" 140441 "woman" 1952 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" "qualified manual professions" "qualified manual professions" 1096.67443847656 0.973281264305115 "2438"
"2486" 142791 "woman" 1957 "Switzerland" "german" "Roman Catholic" "about once a month" "other self-employed" NA 670.146606445312 0.594744503498077 "2486"
"1101" 62471 "man" 1951 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" NA "unqualified non-manual and manual workers" 878.3056640625 0.779482364654541 "1101"
"947" 54091 "man" 1939 "Switzerland" NA NA NA NA NA 2263.18090820312 2.00853729248047 "947"
"1272" 72601 "woman" 1939 "Switzerland" "german" "Protestant or Reformed Church" "only for religious celebrations" "other self-employed" NA 1088.763671875 0.966260552406311 "1272"
"1866" 105951 "man" 1946 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" NA 810.596557617188 0.719391644001007 "1866"
"1662" 95851 "man" 1940 "Switzerland" "italian" "Roman Catholic" "once a week" NA "other self-employed" 1414.92395019531 1.25572264194489 "1662"
"1140" 64871 "man" 1936 "Switzerland" "german" "Roman Catholic" "a few times a year" "other self-employed" NA 748.845520019531 0.664588570594788 "1140"
"1561" 88971 "woman" 1930 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" "other self-employed" 1517.77136230469 1.34699809551239 "1561"
"262" 16581 "man" 1942 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "unqualified non-manual and manual workers" NA 951.638244628906 0.844563901424408 "262"
"774" 44171 "woman" 1934 "Switzerland" "italian" "Roman Catholic" "religious celebrations and family events" "unqualified non-manual and manual workers" "unqualified non-manual and manual workers" 1546.408203125 1.37241291999817 "774"
"740" 42181 "man" 1941 "Switzerland" "german" "Roman Catholic" "a few times a year" "qualified manual professions" NA 1363.47631835938 1.21006369590759 "740"
"884" 50131 "man" 1955 "Switzerland" "french" NA NA NA NA 1516.85205078125 1.3461822271347 "884"
"2548" 146141 "man" 1955 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "intermediate professions" NA 606.431213378906 0.538198113441467 "2548"
"1586" 90811 "man" 1947 "Switzerland" NA NA NA "unqualified non-manual and manual workers" NA 728.420471191406 0.646461665630341 "1586"
"1065" 60401 "man" 1950 "Switzerland" "french" "no denomination or religion" "a few times a year" "academic professions and senior management" NA 713.935485839844 0.633606493473053 "1065"
"1757" 100761 "man" 1954 "Switzerland" "german" "Roman Catholic" "a few times a year" "other self-employed" "other self-employed" 871.995910644531 0.773882567882538 "1757"
"416" 24641 "man" 1949 "Switzerland" "german" "Roman Catholic" "about once a month" "intermediate professions" NA 812.339050292969 0.720938086509705 "416"
"1236" 70031 "woman" 1949 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "qualified manual professions" NA 1067.75817871094 0.947618544101715 "1236"
"802" 45581 "man" 1953 "Itally" "italian" "Roman Catholic" "only for family ceremonies" "intermediate professions" NA 763.408386230469 0.677512884140015 "802"
"658" 36991 "man" 1931 "Germany" NA NA NA NA NA 4522.8076171875 4.01392030715942 "658"
"1301" 74231 "man" 1955 "Switzerland" NA NA NA NA NA 1426.76770019531 1.26623368263245 "1301"
"92" NA "woman" 1939 NA NA NA NA "academic professions and senior management" NA 0 0 "92"
"2189" 123781 "man" 1948 "Switzerland" "french" "Roman Catholic" "once a week" "unqualified non-manual and manual workers" NA 958.026062011719 0.85023295879364 "2189"
"1076" 60821 "man" 1931 "Switzerland" "french" "Roman Catholic" "religious celebrations and family events" "intermediate professions" NA 856.159118652344 0.759827673435211 "1076"
"869" 49251 "man" 1940 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "unqualified non-manual and manual workers" NA 1133.41052246094 1.00588393211365 "869"
"1937" 109391 "man" 1952 "Switzerland" "german" "other" "never" "intermediate professions" NA 754.228942871094 0.669366240501404 "1937"
"71" 6861 "woman" 1954 "Switzerland" "french" "Roman Catholic" "a few times a year" "other self-employed" NA 834.93408203125 0.740990817546844 "71"
"1245" 70851 "woman" 1946 "Switzerland" "german" "Roman Catholic" "a few times a year" "qualified manual professions" NA 1057.1005859375 0.938160002231598 "1245"
"1129" 63651 "man" 1937 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "intermediate professions" "intermediate professions" 748.845520019531 0.664588570594788 "1129"
"245" 15811 "woman" 1955 "Switzerland" "french" "Protestant or Reformed Church" "a few times a year" "other self-employed" NA 717.715026855469 0.636960744857788 "245"
"545" 30591 "man" 1938 "Austria" "german" "Roman Catholic" "religious celebrations and family events" NA NA 2118.16821289062 1.87984073162079 "545"
"1431" 82151 "man" 1955 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" NA 1970.26098632812 1.74857544898987 "1431"
"155" 11411 "woman" 1933 "Switzerland" "german" "Roman Catholic" "once a week" "unqualified non-manual and manual workers" "qualified manual professions" 1386.74401855469 1.23071336746216 "155"
"842" 47521 "man" 1957 "Switzerland" "french" "Protestant or Reformed Church" "once a week" "unqualified non-manual and manual workers" NA 1123.73864746094 0.997300267219543 "842"
"153" 11391 "woman" 1940 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "academic professions and senior management" NA 1250.78662109375 1.11005330085754 "153"
"1079" 60851 "woman" 1951 "Switzerland" "french" "no denomination or religion" "never" "qualified manual professions" "unqualified non-manual and manual workers" 1444.60571289062 1.28206479549408 "1079"
"433" 25241 "man" 1943 "Switzerland" "german" "no denomination or religion" "never" "academic professions and senior management" NA 880.516662597656 0.781444609165192 "433"
"1332" 75681 "woman" 1954 "Switzerland" "german" "other Christian denomination" "every two weeks" "academic professions and senior management" "unqualified non-manual and manual workers" 1171.70678710938 1.03987121582031 "1332"
"647" 36381 "man" 1939 "Switzerland" "german" "Roman Catholic" "once a week" "qualified manual professions" NA 951.404418945312 0.8443563580513 "647"
"1002" 57291 "woman" 1944 "Switzerland" "french" "Roman Catholic" "only for religious celebrations" "unqualified non-manual and manual workers" "other self-employed" 1344.19604492188 1.19295275211334 "1002"
"2489" NA "man" 1939 NA NA NA NA "other self-employed" NA 982.517700195312 0.871968924999237 "2489"
"188" 13221 "man" 1933 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "qualified non-manual professions" NA 888.324279785156 0.78837376832962 "188"
"1582" 90611 "man" 1948 "Austria" "german" "Roman Catholic" "only for family ceremonies" NA "intermediate professions" 2046.78247070312 1.81648707389832 "1582"
"49" NA "woman" 1951 NA NA NA NA "qualified non-manual professions" "qualified non-manual professions" 966.057250976562 0.857360541820526 "49"
"112" NA "woman" 1924 NA NA NA NA "unqualified non-manual and manual workers" NA 1417.08837890625 1.25764358043671 "112"
"738" 42031 "man" 1956 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" "qualified manual professions" NA 883.109985351562 0.783746123313904 "738"
"495" 28041 "man" 1932 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "unqualified non-manual and manual workers" "intermediate professions" 951.169006347656 0.844147443771362 "495"
"1200" 68491 "man" 1952 "Switzerland" "german" "no denomination or religion" "religious celebrations and family events" "intermediate professions" NA 707.797241210938 0.628158867359161 "1200"
"925" 52731 "woman" 1927 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" NA "academic professions and senior management" 1003.35174560547 0.890458822250366 "925"
"1238" 70441 "man" 1945 "Switzerland" "german" "Roman Catholic" "every two weeks" "other self-employed" "other self-employed" 837.08740234375 0.742901861667633 "1238"
"253" 16161 "woman" 1924 "Switzerland" "german" "Roman Catholic" "once a week" "other self-employed" "other self-employed" 972.808959960938 0.863352596759796 "253"
"2069" 117071 "woman" 1946 "Switzerland" "french" "no denomination or religion" "only for family ceremonies" "academic professions and senior management" NA 791.310729980469 0.70227575302124 "2069"
"2502" 143821 "woman" 1953 "Switzerland" "german" "Roman Catholic" "about once a month" "other self-employed" "other self-employed" 870.424560546875 0.772488057613373 "2502"
"1759" 100901 "man" 1940 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "unqualified non-manual and manual workers" NA 939.5771484375 0.833859860897064 "1759"
"1235" 70031 "man" 1953 "Switzerland" "german" "Roman Catholic" "a few times a year" NA "unqualified non-manual and manual workers" 1063.64807128906 0.943970799446106 "1235"
"2434" 140231 "woman" 1957 "Switzerland" "german" "Roman Catholic" "a few times a year" "other self-employed" "other self-employed" 775.528137207031 0.688268959522247 "2434"
